"SKUcolorsize";"Quantity"
"#85710";0
"#85715";0
"#85720";0
"#85725";0
"#85730";0
"#85735";0
"#85740";0
"#85741";-2
"#85742";0
"#85743";0
"#85744";0
"#85745";-1
"#85746";0
"#85747";0
"#85748";0
"#85749";0
"#85750";0
"#85751";0
"#85752";0
"#85817";0
"#85818";2
"#85819";0
"#85820";0
"#85821";1
"#85822";1
"#85823";-1
"#85824";0
"#85825";0
"#85826";0
"#85827";0
"#85828";1
"#85829";0
"#85894";0
"#85899";0
"#85905";0
"#85912";0
"#85920";0
"#85928";0
"#85935";0
"#85942";0
"#85948";0
"#85954";0
"#85955";0
"#85956";0
"#85957";0
"#85958";-1
"#85959";0
"#85960";0
"#85961";0
"#85962";0
"#85997";1
"#85998";0
"#85999";0
"#86000";0
"#86001";0
"#86002";0
"#86003";0
"#86004";0
"#86005";0
"#86030";0
"#86031";0
"#86032";0
"#86052";5
"#86057";3
"#86062";3
"#86067";5
"#86072";2
"#86077";3
"#86082";5
"#86087";6
"#86092";3
"#86097";0
"#86098";1
"#86099";-1
"#86100";-1
"#86101";1
"#86102";0
"#86103";0
"#86104";0
"#86105";0
"#86150";2
"#86155";8
"#86161";15
"#86169";8
"#86177";4
"#86185";9
"#86194";4
"#86202";2
"#86211";1
"#86220";4
"#86229";0
"#86230";4
"#86231";3
"#86232";4
"#86233";7
"#86234";3
"#86235";0
"#86236";6
"#86237";0
"#86238";0
"#86302";0
"#86307";0
"#86312";0
"#86317";0
"#86322";0
"#86327";0
"#86332";0
"#86337";0
"#86342";0
"#86347";0
"#86352";0
"#86357";1
"#86358";-1
"#86359";0
"#86360";0
"#86361";0
"#86362";0
"#86363";0
"#86364";0
"#86365";0
"#86366";0
"#86367";0
"#86422";0
"#86426";0
"#86432";0
"#86438";0
"#86444";0
"#86449";0
"#86455";0
"#86460";0
"#86466";0
"#86472";0
"#86478";0
"#86484";0
"#86489";0
"#86494";0
"#86499";0
"#86500";0
"#86501";0
"#86502";0
"#86503";0
"#86504";0
"#86505";0
"#86506";-1
"#86507";-1
"#86508";0
"#86509";0
"#86510";0
"#86511";-1
"#86512";0
"#86602";0
"#86608";-1
"#86614";0
"#86620";0
"#86625";0
"#86631";0
"#86636";0
"#86643";0
"#86649";0
"#86655";-1
"#86660";0
"#86664";0
"#86665";0
"#86666";1
"#86667";0
"#86668";0
"#86669";1
"#86670";0
"#86671";0
"#86672";0
"#86673";0
"#86674";0
"#86731";0
"#86732";0
"#86733";0
"#86734";0
"#86735";1
"#86736";0
"#86737";0
"#86738";0
"#86739";0
"#86740";0
"#86741";0
"#86798";0
"#86799";0
"#86800";0
"#86801";0
"#86802";0
"#86803";0
"#86804";0
"#86805";0
"#86806";1
"#86807";0
"#86808";0
"#86875";0
"#86876";0
"#86877";0
"#86878";0
"#86883";0
"#86884";0
"#86885";0
"#86886";0
"#86891";0
"#86892";0
"#86893";0
"#86894";0
"#86895";1
"#86896";0
"#86897";0
"#86898";0
"#86899";0
"#86900";1
"#86901";0
"#86902";0
"#86903";0
"#86959";0
"#86960";0
"#86961";0
"#86962";-1
"#86963";-1
"#86964";0
"#86965";0
"#86966";0
"#86967";0
"#86968";0
"#86969";0
"#86970";0
"#86971";0
"#87040";1
"#87045";-1
"#87052";0
"#87059";1
"#87064";0
"#87071";-2
"#87072";0
"#87073";0
"#87074";0
"#87075";2
"#87078";0
"#87079";0
"#87080";-2
"#87081";1
"#87082";0
"#87083";-2
"#87084";1
"#87085";0
"#87086";0
"#87087";-1
"#87088";0
"#87089";0
"#87090";0
"#87091";0
"#87092";0
"#87093";0
"#87094";0
"#87095";0
"#87096";0
"#87097";0
"#87098";0
"#87099";0
"#87100";0
"#87101";1
"#87102";0
"#87103";2
"#87104";2
"#87105";3
"#87106";1
"#87107";0
"#87108";0
"#87109";0
"#87114";0
"#87115";1
"#87116";0
"#87117";0
"#87140";0
"#87141";0
"#87142";0
"#87143";0
"#87144";0
"#87145";0
"#87146";0
"#87147";0
"#87148";0
"#88424";0
"#88425";0
"#88426";0
"#88427";0
"#88428";0
"#88429";0
"#88430";0
"#88431";0
"#88432";0
"#88433";0
"#88434";0
"#89467";0
"#89468";0
"#89469";0
"#89470";0
"#89471";0
"#89472";1
"#89473";0
"#89474";0
"#89475";0
"#89476";0
"#89487";0
"#89488";2
"#89489";0
"#89490";0
"#89491";0
"#89492";1
"#89493";0
"#89494";0
"#89495";0
"#89496";0
"#89497";0
"#89498";0
"#89499";0
"#89500";0
"#89501";2
"#89502";1
"#89503";2
"#89504";0
"#89505";0
"#89506";0
"#89507";0
"#89508";2
"#89509";0
"#89510";0
"#89511";0
"#89512";2
"#89513";0
"#89514";0
"#89515";0
"#89516";0
"#89635";0
"#89636";0
"#89637";0
"#89638";0
"#89639";2
"#89640";0
"#89641";-1
"#89642";0
"#89643";0
"#89644";0
"#89645";1
"#89646";0
"#89647";0
"#89648";0
"#89649";0
"#89650";0
"#89651";0
"#89652";0
"#89653";0
"#89654";2
"#89655";0
"#89656";0
"#89680";0
"#89681";0
"#89682";2
"#89683";2
"#89685";2
"#89686";3
"#89687";0
"#89688";0
"#89690";2
"#89691";4
"#89692";3
"#89693";5
"#89694";0
"#89695";2
"#89696";3
"#89697";0
"#89774";2
"#89775";1
"#89776";2
"#89777";0
"#89778";0
"#89779";0
"#89780";0
"#90795";0
"#90796";0
"#90797";1
"#90798";1
"#90799";0
"#90800";0
"#90853";0
"#90854";0
"#90855";0
"#90856";0
"#90857";1
"#90858";0
"#90859";1
"#90860";0
"#90861";1
"#90908";0
"#90909";1
"#90910";0
"#90911";0
"#90912";-2
"#90913";0
"#90914";0
"#90915";-1
"#90916";0
"#90917";0
"#90918";0
"#90965";0
"#90966";0
"#90967";0
"#90968";0
"#90969";0
"#90970";0
"#90971";0
"#90972";0
"#90973";0
"#90974";0
"#90975";0
"#90976";0
"#90977";0
"#90978";0
"#90979";0
"#90980";0
"#90981";0
"#90982";0
"#90983";0
"#90984";0
"#90985";0
"#90986";0
"#91020";0
"#91021";0
"#91022";0
"#91023";0
"#91024";-1
"#91025";0
"#91026";1
"#91027";0
"#91028";0
"#91029";0
"#91030";0
"#91062";0
"#91063";0
"#91064";0
"#91065";0
"#91066";0
"#91067";0
"#91068";0
"#91069";0
"#91070";0
"#91071";0
"#91072";0
"#91106";7
"#91107";6
"#91115";5
"#91116";0
"#91117";8
"#91118";0
"#91119";0
"#91120";0
"#91121";0
"#91122";7
"#91123";0
"#91124";9
"#91125";0
"#91126";0
"#91127";0
"#91128";0
"#91157";0
"#91158";0
"#91159";0
"#91160";1
"#91161";-1
"#91162";-1
"#91202";0
"#91203";-1
"#91204";0
"#91205";0
"#91206";0
"#91207";0
"#91208";0
"#91209";0
"#91210";0
"#91211";0
"#91212";0
"#91247";0
"#91248";0
"#91249";0
"#91250";0
"#91251";0
"#91252";0
"#91253";0
"#91254";0
"#91255";0
"#91256";0
"#91257";0
"#91258";0
"#91259";0
"#91260";0
"#91261";0
"#91262";0
"#91263";0
"#91264";0
"#91265";0
"#91266";0
"#91267";0
"#91268";0
"#92956";0
"#92957";5
"#92958";0
"#92959";3
"#92960";2
"#97454";10
"#97459";10
"#97464";5
"#97469";4
"#97474";3
"#97479";4
"#97484";8
"#97485";4
"#97486";4
"#97487";6
"#97488";5
"#97489";10
"#97519";9
"#97524";15
"#97529";12
"#97534";11
"#97539";6
"#97544";6
"#97549";8
"#97550";2
"#97551";3
"#97552";8
"#97553";8
"#97554";13
"#97584";10
"#97585";6
"#97586";4
"#97587";11
"#97588";12
"#97589";17
"#97739";9
"#97744";13
"#97749";11
"#97754";9
"#97759";4
"#97764";3
"#97769";4
"#97770";3
"#97771";2
"#97772";3
"#97773";8
"#97774";7
"#97804";8
"#97805";3
"#97806";2
"#97807";10
"#97808";12
"#97809";13
"#97839";3
"#97840";0
"#97841";0
"#97842";3
"#97843";7
"#97844";4
"#97864";8
"#97869";13
"#97874";7
"#97879";8
"#97884";5
"#97889";6
"#97894";1
"#97895";6
"#97896";6
"#97897";3
"#97898";4
"#97899";5
"#97929";5
"#97930";5
"#97931";6
"#97932";4
"#97933";8
"#97934";10
"#98042";0
"#98043";0
"#98044";0
"#98045";0
"#98046";0
"#98047";0
"#98048";1
"#98049";0
"#98050";0
"#98051";0
"#98162";0
"#98163";0
"#98164";2
"#98165";4
"#98166";2
"#98340";1
"#98341";0
"#98523";-2
"#98524";0
"#98525";2
"#98526";0
"#98542";-1
"#98543";-1
"#98544";-1
"#98545";0
"#98561";0
"#98562";0
"#98563";0
"#98564";0
"#98565";0
"#98566";0
"#98567";0
"#98568";0
"#98726";0
"#98727";0
"#98728";0
"#98729";0
"#98730";0
"#98731";0
"#98820";14
"#98821";11
"#98822";6
"#98830";3
"#98831";3
"#98832";2
"#98833";2
"#98834";2
"#98835";2
"#98897";5
"#99360";3
"#99361";0
"#99362";1
"#99488";7
"#99489";5
"#99490";7
"#99491";6
"#99492";9
"#99493";9
"#99494";10
"#99495";7
"#99496";8
"#99530";15
"#99531";16
"#99532";14
"#99533";13
"#99534";12
"#99535";0
"#99536";0
"#99537";4
"#99538";6
"#99539";9
"#99540";5
"#99541";8
"#99542";0
"#99543";0
"#99544";5
"#99545";7
"#99546";4
"#99547";3
"#99548";0
"#99549";0
"#99550";0
"#100264";0
"#100265";0
"#100271";0
"#100272";0
"#100278";0
"#100502";0
"#100503";2
"#100504";3
"#100505";2
"#102241";0
"#102242";1
"#102243";0
"#102244";0
"#102245";0
"#102246";0
"#102247";0
"#102248";0
"#102249";0
"#102250";1
"#102251";0
"#102252";0
"#102253";0
"#102254";0
"#102255";0
"#102256";0
"#102277";0
"#102278";1
"#102279";0
"#102280";0
"#102285";1
"#102286";0
"#102287";0
"#102288";0
"#102304";0
"#102305";0
"#102306";0
"#102307";0
"#102308";0
"#102309";0
"#102310";0
"#102311";0
"#102312";0
"#102313";0
"#102314";0
"#102315";0
"#102316";0
"#102317";0
"#102318";0
"#102319";0
"#102344";0
"#102345";0
"#102346";0
"#102347";0
"#102376";0
"#102377";0
"#102378";1
"#102379";0
"#102380";0
"#102381";-1
"#102382";0
"#102383";0
"#102384";0
"#102385";0
"#102386";0
"#102387";0
"#102388";0
"#102389";0
"#102390";0
"#102391";0
"#102392";0
"#102393";0
"#102394";0
"#102395";1
"#102396";0
"#102397";0
"#102398";0
"#102399";0
"#102400";0
"#102401";0
"#102402";0
"#102403";0
"#102418";2
"#102419";2
"#102420";2
"#102421";2
"#102422";0
"#102423";3
"#102424";1
"#102425";2
"#102464";2
"#102465";1
"#102466";2
"#102467";2
"#102468";2
"#102469";2
"#102470";2
"#102471";2
"#102660";2
"#102661";1
"#102662";0
"#102663";1
"#102707";2
"#102708";1
"#102709";1
"#102712";0
"#102713";7
"#102714";3
"#102717";0
"#102718";1
"#102732";6
"#102734";0
"#102736";5
"#102737";2
"#102743";1
"#102751";0
"#102752";2
"#102863";1
"#102864";0
"#102865";0
"#102866";0
"#102867";0
"#102868";0
"#102869";0
"#102870";0
"#102907";0
"#102908";0
"#102909";0
"#102910";0
"#102911";0
"#102960";0
"#102961";0
"#102962";0
"#102963";0
"#102964";0
"#102975";-1
"#105971";8
"#105972";15
"#105973";14
"#105974";14
"#105975";9
"#105976";8
"#105977";7
